stage,outer_test_year,candidate_id,candidate_label,binary_macro_regime_label,n_cp_rows,n_unique_dates,mae,exact_bracket_pct,production_status
test,2024,local_only_onda3f,Local-only Onda 3F,macro_non_southerly,1073,277,1.072716117661352,28.611369990680334,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,macro_southerly_flow,315,89,1.0065974111339147,28.57142857142857,EXPERIMENT_ONLY
test,2024,om_family_inverse_mae_weighted,om family inverse mae weighted,macro_non_southerly,1073,277,1.3941732670557616,12.022367194780987,EXPERIMENT_ONLY
test,2024,om_family_inverse_mae_weighted,om family inverse mae weighted,macro_southerly_flow,315,89,0.8234386171565224,30.158730158730158,EXPERIMENT_ONLY
test,2024,om_family_mean_raw,om family mean raw,macro_non_southerly,1073,277,1.456924510717614,11.276794035414724,EXPERIMENT_ONLY
test,2024,om_family_mean_raw,om family mean raw,macro_southerly_flow,315,89,0.8487619047619048,31.428571428571427,EXPERIMENT_ONLY
test,2024,om_family_median_raw,om family median raw,macro_non_southerly,1073,277,1.4797763280521903,12.022367194780987,EXPERIMENT_ONLY
test,2024,om_family_median_raw,om family median raw,macro_southerly_flow,315,89,0.9015873015873016,32.698412698412696,EXPERIMENT_ONLY
test,2024,om_family_month_bias_corrected,om family month bias corrected,macro_non_southerly,1073,277,0.7675159776613358,39.235787511649576,EXPERIMENT_ONLY
test,2024,om_family_month_bias_corrected,om family month bias corrected,macro_southerly_flow,315,89,0.6934152137417519,53.01587301587302,EXPERIMENT_ONLY
test,2024,om_family_recent_bias_corrected,om family recent bias corrected,macro_non_southerly,1073,277,0.7148953091022056,41.47250698974837,EXPERIMENT_ONLY
test,2024,om_family_recent_bias_corrected,om family recent bias corrected,macro_southerly_flow,315,89,0.7227682539682541,45.3968253968254,EXPERIMENT_ONLY
test,2024,om_family_regime_bias_corrected,om family regime bias corrected,macro_non_southerly,1073,277,0.7021921737216364,41.845293569431504,EXPERIMENT_ONLY
test,2024,om_family_regime_bias_corrected,om family regime bias corrected,macro_southerly_flow,315,89,0.8487619047619048,31.428571428571427,EXPERIMENT_ONLY
test,2024,om_family_season_bias_corrected,om family season bias corrected,macro_non_southerly,1073,277,0.7394531992807855,42.124883504193846,EXPERIMENT_ONLY
test,2024,om_family_season_bias_corrected,om family season bias corrected,macro_southerly_flow,315,89,0.7373963443963443,44.44444444444444,EXPERIMENT_ONLY
test,2024,om_gfs_previous_runs_raw,om gfs previous runs raw,macro_non_southerly,1073,277,1.5843429636533084,7.921714818266542,EXPERIMENT_ONLY
test,2024,om_gfs_previous_runs_raw,om gfs previous runs raw,macro_southerly_flow,315,89,0.9053968253968253,33.96825396825397,EXPERIMENT_ONLY
test,2024,open_meteo_augmented_onda3f,Open-Meteo augmented Onda 3F,macro_non_southerly,1073,277,0.8745893662017227,34.01677539608574,EXPERIMENT_ONLY
