stage,outer_test_year,evaluation_year,candidate_id,candidate_label,n_days,n_cp_rows,mae,any_cp_exact_pct,n_days_with_cp23,cp23_exact_days,cp23_exact_pct,production_status,cp_2000_exact_pct,cp_2100_exact_pct,cp_2200_exact_pct,cp_2300_exact_pct
test,2024,2024,local_only_onda3f,Local-only Onda 3F,347,1388,1.0577107916122577,43.51585014409222,347,94,27.089337175792505,EXPERIMENT_ONLY,29.106628242074926,30.547550432276655,27.6657060518732,27.089337175792505
test,2024,2024,om_family_inverse_mae_weighted,om family inverse mae weighted,347,1388,1.264647752129061,16.138328530259365,347,56,16.138328530259365,EXPERIMENT_ONLY,16.138328530259365,16.138328530259365,16.138328530259365,16.138328530259365
test,2024,2024,om_family_mean_raw,om family mean raw,347,1388,1.3189048991354466,15.85014409221902,347,55,15.85014409221902,EXPERIMENT_ONLY,15.85014409221902,15.85014409221902,15.85014409221902,15.85014409221902
test,2024,2024,om_family_median_raw,om family median raw,347,1388,1.3485590778097982,16.714697406340058,347,58,16.714697406340058,EXPERIMENT_ONLY,16.714697406340058,16.714697406340058,16.714697406340058,16.714697406340058
test,2024,2024,om_family_month_bias_corrected,om family month bias corrected,347,1388,0.7506991616421218,42.363112391930834,347,147,42.363112391930834,EXPERIMENT_ONLY,42.363112391930834,42.363112391930834,42.363112391930834,42.363112391930834
test,2024,2024,om_family_recent_bias_corrected,om family recent bias corrected,347,1388,0.7166820365033622,42.363112391930834,347,147,42.363112391930834,EXPERIMENT_ONLY,42.363112391930834,42.363112391930834,42.363112391930834,42.363112391930834
test,2024,2024,om_family_regime_bias_corrected,om family regime bias corrected,347,1388,0.7354554772358184,41.4985590778098,347,139,40.05763688760807,EXPERIMENT_ONLY,39.19308357348703,39.19308357348703,39.481268011527376,40.05763688760807
test,2024,2024,om_family_season_bias_corrected,om family season bias corrected,347,1388,0.7389864058451955,42.65129682997118,347,148,42.65129682997118,EXPERIMENT_ONLY,42.65129682997118,42.65129682997118,42.65129682997118,42.65129682997118
test,2024,2024,om_gfs_previous_runs_raw,om gfs previous runs raw,347,1388,1.4302593659942364,13.8328530259366,347,48,13.8328530259366,EXPERIMENT_ONLY,13.8328530259366,13.8328530259366,13.8328530259366,13.8328530259366
test,2024,2024,open_meteo_augmented_onda3f,Open-Meteo augmented Onda 3F,347,1388,0.8419277395321766,56.48414985590778,347,135,38.90489913544668,EXPERIMENT_ONLY,34.293948126801155,36.023054755043226,39.19308357348703,38.90489913544668
validation,2024,2023,local_only_onda3f,Local-only Onda 3F,364,1456,1.0576790939996112,47.527472527472526,364,121,33.24175824175824,EXPERIMENT_ONLY,28.846153846153843,32.967032967032964,33.24175824175824,33.24175824175824
validation,2024,2023,om_family_inverse_mae_weighted,om family inverse mae weighted,364,1456,1.4195240456354083,15.659340659340659,364,57,15.659340659340659,EXPERIMENT_ONLY,15.659340659340659,15.659340659340659,15.659340659340659,15.659340659340659
validation,2024,2023,om_family_mean_raw,om family mean raw,364,1456,1.4358516483516486,15.934065934065933,364,58,15.934065934065933,EXPERIMENT_ONLY,15.934065934065933,15.934065934065933,15.934065934065933,15.934065934065933
validation,2024,2023,om_family_median_raw,om family median raw,364,1456,1.4358516483516486,15.934065934065933,364,58,15.934065934065933,EXPERIMENT_ONLY,15.934065934065933,15.934065934065933,15.934065934065933,15.934065934065933
validation,2024,2023,om_family_month_bias_corrected,om family month bias corrected,364,1456,0.8833797378296946,33.791208791208796,364,123,33.791208791208796,EXPERIMENT_ONLY,33.791208791208796,33.791208791208796,33.791208791208796,33.791208791208796
validation,2024,2023,om_family_recent_bias_corrected,om family recent bias corrected,364,1456,0.8579505494505494,35.43956043956044,364,129,35.43956043956044,EXPERIMENT_ONLY,35.43956043956044,35.43956043956044,35.43956043956044,35.43956043956044
validation,2024,2023,om_family_regime_bias_corrected,om family regime bias corrected,364,1456,0.9688960493372167,30.21978021978022,364,103,28.296703296703296,EXPERIMENT_ONLY,29.120879120879124,28.846153846153843,28.021978021978022,28.296703296703296
validation,2024,2023,om_family_season_bias_corrected,om family season bias corrected,364,1456,0.8407124877245218,38.18681318681318,364,139,38.18681318681318,EXPERIMENT_ONLY,38.18681318681318,38.18681318681318,38.18681318681318,38.18681318681318
validation,2024,2023,om_gfs_previous_runs_raw,om gfs previous runs raw,364,1456,1.4096153846153847,16.483516483516482,364,60,16.483516483516482,EXPERIMENT_ONLY,16.483516483516482,16.483516483516482,16.483516483516482,16.483516483516482
validation,2024,2023,open_meteo_augmented_onda3f,Open-Meteo augmented Onda 3F,364,1456,0.9137936866946796,55.494505494505496,364,129,35.43956043956044,EXPERIMENT_ONLY,34.065934065934066,35.989010989010985,32.967032967032964,35.43956043956044
test,2025,2025,local_only_onda3f,Local-only Onda 3F,365,1460,1.057081935511063,45.47945205479452,365,117,32.054794520547944,EXPERIMENT_ONLY,27.397260273972602,30.958904109589042,33.97260273972603,32.054794520547944
test,2025,2025,om_family_inverse_mae_weighted,om family inverse mae weighted,365,1460,1.2107920403666472,19.726027397260275,365,72,19.726027397260275,EXPERIMENT_ONLY,19.726027397260275,19.726027397260275,19.726027397260275,19.726027397260275
test,2025,2025,om_family_mean_raw,om family mean raw,365,1460,1.292876712328767,17.80821917808219,365,65,17.80821917808219,EXPERIMENT_ONLY,17.80821917808219,17.80821917808219,17.80821917808219,17.80821917808219
test,2025,2025,om_family_median_raw,om family median raw,365,1460,1.33,18.356164383561644,365,67,18.356164383561644,EXPERIMENT_ONLY,18.356164383561644,18.356164383561644,18.356164383561644,18.356164383561644
test,2025,2025,om_family_month_bias_corrected,om family month bias corrected,365,1460,0.8177262522176716,38.63013698630137,365,141,38.63013698630137,EXPERIMENT_ONLY,38.63013698630137,38.63013698630137,38.63013698630137,38.63013698630137
test,2025,2025,om_family_recent_bias_corrected,om family recent bias corrected,365,1460,0.8258065144596652,38.63013698630137,365,141,38.63013698630137,EXPERIMENT_ONLY,38.63013698630137,38.63013698630137,38.63013698630137,38.63013698630137
test,2025,2025,om_family_regime_bias_corrected,om family regime bias corrected,365,1460,0.8573018487151092,34.794520547945204,365,122,33.42465753424658,EXPERIMENT_ONLY,33.42465753424658,33.15068493150685,32.87671232876712,33.42465753424658
test,2025,2025,om_family_season_bias_corrected,om family season bias corrected,365,1460,0.7830872917037301,42.19178082191781,365,154,42.19178082191781,EXPERIMENT_ONLY,42.19178082191781,42.19178082191781,42.19178082191781,42.19178082191781
test,2025,2025,om_gfs_previous_runs_raw,om gfs previous runs raw,365,1460,1.4227397260273975,15.342465753424658,365,56,15.342465753424658,EXPERIMENT_ONLY,15.342465753424658,15.342465753424658,15.342465753424658,15.342465753424658
test,2025,2025,open_meteo_augmented_onda3f,Open-Meteo augmented Onda 3F,365,1460,0.806774965058294,61.917808219178085,365,154,42.19178082191781,EXPERIMENT_ONLY,40.54794520547945,43.013698630136986,39.726027397260275,42.19178082191781
validation,2025,2024,local_only_onda3f,Local-only Onda 3F,347,1388,1.0577107916122577,43.51585014409222,347,94,27.089337175792505,EXPERIMENT_ONLY,29.106628242074926,30.547550432276655,27.6657060518732,27.089337175792505
validation,2025,2024,om_family_inverse_mae_weighted,om family inverse mae weighted,347,1388,1.264647752129061,16.138328530259365,347,56,16.138328530259365,EXPERIMENT_ONLY,16.138328530259365,16.138328530259365,16.138328530259365,16.138328530259365
validation,2025,2024,om_family_mean_raw,om family mean raw,347,1388,1.3189048991354466,15.85014409221902,347,55,15.85014409221902,EXPERIMENT_ONLY,15.85014409221902,15.85014409221902,15.85014409221902,15.85014409221902
validation,2025,2024,om_family_median_raw,om family median raw,347,1388,1.3485590778097982,16.714697406340058,347,58,16.714697406340058,EXPERIMENT_ONLY,16.714697406340058,16.714697406340058,16.714697406340058,16.714697406340058
validation,2025,2024,om_family_month_bias_corrected,om family month bias corrected,347,1388,0.7506991616421218,42.363112391930834,347,147,42.363112391930834,EXPERIMENT_ONLY,42.363112391930834,42.363112391930834,42.363112391930834,42.363112391930834
validation,2025,2024,om_family_recent_bias_corrected,om family recent bias corrected,347,1388,0.7166820365033622,42.363112391930834,347,147,42.363112391930834,EXPERIMENT_ONLY,42.363112391930834,42.363112391930834,42.363112391930834,42.363112391930834
validation,2025,2024,om_family_regime_bias_corrected,om family regime bias corrected,347,1388,0.7354554772358184,41.4985590778098,347,139,40.05763688760807,EXPERIMENT_ONLY,39.19308357348703,39.19308357348703,39.481268011527376,40.05763688760807
validation,2025,2024,om_family_season_bias_corrected,om family season bias corrected,347,1388,0.7389864058451955,42.65129682997118,347,148,42.65129682997118,EXPERIMENT_ONLY,42.65129682997118,42.65129682997118,42.65129682997118,42.65129682997118
