candidate_version,date_local,cp,macro_regime_label,subtype_label,candidate_regime_label,source_candidate_id,component_argmax,component_probabilities,family_probabilities,component_entropy,component_margin,nearest_alternative_macro,distance_to_candidate,distance_to_alternative,assignment_confidence,low_confidence_flag,original_macro_regime_label,original_subtype_label,absorbed_from_residual,residual_absorption_reason,causal_window,production_status
v2.1,2009-04-23,20:00,macro_southerly_flow,subtype_transition_low_confidence,macro_southerly_flow,RDC-V1-MONTH-4-C05,RDC-V1-MONTH-4-C05,"{""RDC-V1-MONTH-4-C00"": 0.135815012708, ""RDC-V1-MONTH-4-C01"": 0.070133595411, ""RDC-V1-MONTH-4-C02"": 0.15978090524, ""RDC-V1-MONTH-4-C03"": 0.026287516821, ""RDC-V1-MONTH-4-C04"": 0.089671507505, ""RDC-V1-MONTH-4-C05"": 0.518311462315}","{""macro_light_marine_or_residual"": 0.518311462315, ""macro_nw_continuum"": 0.295620115624, ""macro_southerly_flow"": 0.186068422061}",1.40307640788365,0.35853055707542714,macro_southerly_flow,3.218893635861185,4.39566644144961,0.5183114623151397,true,macro_light_marine_or_residual,subtype_transition_low_confidence,true,Residual macro absorbed into nearest physical macro macro_southerly_flow.,valid < CP,NOT_PRODUCTION
v2.1,2009-04-23,21:00,macro_southerly_flow,subtype_transition_low_confidence,macro_southerly_flow,RDC-V1-MONTH-4-C05,RDC-V1-MONTH-4-C05,"{""RDC-V1-MONTH-4-C00"": 0.135815012708, ""RDC-V1-MONTH-4-C01"": 0.070133595411, ""RDC-V1-MONTH-4-C02"": 0.15978090524, ""RDC-V1-MONTH-4-C03"": 0.026287516821, ""RDC-V1-MONTH-4-C04"": 0.089671507505, ""RDC-V1-MONTH-4-C05"": 0.518311462315}","{""macro_light_marine_or_residual"": 0.518311462315, ""macro_nw_continuum"": 0.295620115624, ""macro_southerly_flow"": 0.186068422061}",1.40307640788365,0.35853055707542714,macro_southerly_flow,3.218893635861185,4.39566644144961,0.5183114623151397,true,macro_light_marine_or_residual,subtype_transition_low_confidence,true,Residual macro absorbed into nearest physical macro macro_southerly_flow.,valid < CP,NOT_PRODUCTION
v2.1,2009-04-23,22:00,macro_southerly_flow,subtype_transition_low_confidence,macro_southerly_flow,RDC-V1-MONTH-4-C05,RDC-V1-MONTH-4-C05,"{""RDC-V1-MONTH-4-C00"": 0.135815012708, ""RDC-V1-MONTH-4-C01"": 0.070133595411, ""RDC-V1-MONTH-4-C02"": 0.15978090524, ""RDC-V1-MONTH-4-C03"": 0.026287516821, ""RDC-V1-MONTH-4-C04"": 0.089671507505, ""RDC-V1-MONTH-4-C05"": 0.518311462315}","{""macro_light_marine_or_residual"": 0.518311462315, ""macro_nw_continuum"": 0.295620115624, ""macro_southerly_flow"": 0.186068422061}",1.40307640788365,0.35853055707542714,macro_southerly_flow,3.218893635861185,4.39566644144961,0.5183114623151397,true,macro_light_marine_or_residual,subtype_transition_low_confidence,true,Residual macro absorbed into nearest physical macro macro_southerly_flow.,valid < CP,NOT_PRODUCTION
v2.1,2009-04-23,23:00,macro_southerly_flow,subtype_transition_low_confidence,macro_southerly_flow,RDC-V1-MONTH-4-C05,RDC-V1-MONTH-4-C05,"{""RDC-V1-MONTH-4-C00"": 0.135815012708, ""RDC-V1-MONTH-4-C01"": 0.070133595411, ""RDC-V1-MONTH-4-C02"": 0.15978090524, ""RDC-V1-MONTH-4-C03"": 0.026287516821, ""RDC-V1-MONTH-4-C04"": 0.089671507505, ""RDC-V1-MONTH-4-C05"": 0.518311462315}","{""macro_light_marine_or_residual"": 0.518311462315, ""macro_nw_continuum"": 0.295620115624, ""macro_southerly_flow"": 0.186068422061}",1.40307640788365,0.35853055707542714,macro_southerly_flow,3.218893635861185,4.39566644144961,0.5183114623151397,true,macro_light_marine_or_residual,subtype_transition_low_confidence,true,Residual macro absorbed into nearest physical macro macro_southerly_flow.,valid < CP,NOT_PRODUCTION
v2.1,2009-11-20,20:00,macro_nw_continuum,subtype_nw_or_foehn,macro_nw_continuum,RDC-V1-MONTH-11-C03,RDC-V1-MONTH-11-C03,"{""RDC-V1-MONTH-11-C00"": 0.048403533255, ""RDC-V1-MONTH-11-C01"": 0.108076728161, ""RDC-V1-MONTH-11-C02"": 0.0510172216, ""RDC-V1-MONTH-11-C03"": 0.389840393511, ""RDC-V1-MONTH-11-C04"": 0.314350221619, ""RDC-V1-MONTH-11-C05"": 0.088311901853}","{""macro_nw_continuum"": 0.860670876546, ""macro_southerly_flow"": 0.139329123454}",1.4841826458654068,0.07549017189198565,macro_nw_continuum,1.9322278090636242,2.147457497179056,0.38984039351094907,true,macro_nw_continuum,subtype_nw_or_foehn,false,Original physical macro retained.,valid < CP,NOT_PRODUCTION
v2.1,2009-11-20,21:00,macro_nw_continuum,subtype_nw_or_foehn,macro_nw_continuum,RDC-V1-MONTH-11-C03,RDC-V1-MONTH-11-C03,"{""RDC-V1-MONTH-11-C00"": 0.048403533255, ""RDC-V1-MONTH-11-C01"": 0.108076728161, ""RDC-V1-MONTH-11-C02"": 0.0510172216, ""RDC-V1-MONTH-11-C03"": 0.389840393511, ""RDC-V1-MONTH-11-C04"": 0.314350221619, ""RDC-V1-MONTH-11-C05"": 0.088311901853}","{""macro_nw_continuum"": 0.860670876546, ""macro_southerly_flow"": 0.139329123454}",1.4841826458654068,0.07549017189198565,macro_nw_continuum,1.9322278090636242,2.147457497179056,0.38984039351094907,true,macro_nw_continuum,subtype_nw_or_foehn,false,Original physical macro retained.,valid < CP,NOT_PRODUCTION
v2.1,2009-11-20,22:00,macro_nw_continuum,subtype_nw_or_foehn,macro_nw_continuum,RDC-V1-MONTH-11-C03,RDC-V1-MONTH-11-C03,"{""RDC-V1-MONTH-11-C00"": 0.048403533255, ""RDC-V1-MONTH-11-C01"": 0.108076728161, ""RDC-V1-MONTH-11-C02"": 0.0510172216, ""RDC-V1-MONTH-11-C03"": 0.389840393511, ""RDC-V1-MONTH-11-C04"": 0.314350221619, ""RDC-V1-MONTH-11-C05"": 0.088311901853}","{""macro_nw_continuum"": 0.860670876546, ""macro_southerly_flow"": 0.139329123454}",1.4841826458654068,0.07549017189198565,macro_nw_continuum,1.9322278090636242,2.147457497179056,0.38984039351094907,true,macro_nw_continuum,subtype_nw_or_foehn,false,Original physical macro retained.,valid < CP,NOT_PRODUCTION
v2.1,2009-11-20,23:00,macro_nw_continuum,subtype_nw_or_foehn,macro_nw_continuum,RDC-V1-MONTH-11-C03,RDC-V1-MONTH-11-C03,"{""RDC-V1-MONTH-11-C00"": 0.048403533255, ""RDC-V1-MONTH-11-C01"": 0.108076728161, ""RDC-V1-MONTH-11-C02"": 0.0510172216, ""RDC-V1-MONTH-11-C03"": 0.389840393511, ""RDC-V1-MONTH-11-C04"": 0.314350221619, ""RDC-V1-MONTH-11-C05"": 0.088311901853}","{""macro_nw_continuum"": 0.860670876546, ""macro_southerly_flow"": 0.139329123454}",1.4841826458654068,0.07549017189198565,macro_nw_continuum,1.9322278090636242,2.147457497179056,0.38984039351094907,true,macro_nw_continuum,subtype_nw_or_foehn,false,Original physical macro retained.,valid < CP,NOT_PRODUCTION
v2.1,2010-01-19,20:00,macro_southerly_flow,subtype_southerly_disrupted,macro_southerly_flow,RDC-V1-MONTH-1-C00,RDC-V1-MONTH-1-C00,"{""RDC-V1-MONTH-1-C00"": 0.772597274109, ""RDC-V1-MONTH-1-C01"": 0.117296884588, ""RDC-V1-MONTH-1-C02"": 0.049886071324, ""RDC-V1-MONTH-1-C03"": 0.021929280977, ""RDC-V1-MONTH-1-C04"": 0.021391249261, ""RDC-V1-MONTH-1-C05"": 0.016899239742}","{""macro_nw_continuum"": 0.093206601561, ""macro_southerly_flow"": 0.906793398439}",0.8352299141386835,0.6553003895211985,macro_southerly_flow,2.009652340694547,3.894702066762407,0.772597274109054,false,macro_southerly_flow,subtype_southerly_disrupted,false,Original physical macro retained.,valid < CP,NOT_PRODUCTION
v2.1,2010-01-19,21:00,macro_southerly_flow,subtype_southerly_disrupted,macro_southerly_flow,RDC-V1-MONTH-1-C00,RDC-V1-MONTH-1-C00,"{""RDC-V1-MONTH-1-C00"": 0.772597274109, ""RDC-V1-MONTH-1-C01"": 0.117296884588, ""RDC-V1-MONTH-1-C02"": 0.049886071324, ""RDC-V1-MONTH-1-C03"": 0.021929280977, ""RDC-V1-MONTH-1-C04"": 0.021391249261, ""RDC-V1-MONTH-1-C05"": 0.016899239742}","{""macro_nw_continuum"": 0.093206601561, ""macro_southerly_flow"": 0.906793398439}",0.8352299141386835,0.6553003895211985,macro_southerly_flow,2.009652340694547,3.894702066762407,0.772597274109054,false,macro_southerly_flow,subtype_southerly_disrupted,false,Original physical macro retained.,valid < CP,NOT_PRODUCTION
