month,cp,n_rows,n_fixed_60_trigger,fixed_60_trigger_rate,n_fixed_60_nw_sector_not_foehn,n_fixed_60_non_foehn_regime,has_nw_sector_not_foehn,has_regime_label,fixed_60_nw_sector_not_foehn_share,fixed_60_non_foehn_regime_share,audit_interpretation
1,20:00,482,89,0.18464730290456433,0,47,true,true,0.0,0.5280898876404494,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
1,21:00,482,102,0.21161825726141079,0,59,true,true,0.0,0.5784313725490197,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
1,22:00,482,117,0.24273858921161826,0,73,true,true,0.0,0.6239316239316239,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
1,23:00,482,135,0.2800829875518672,0,90,true,true,0.0,0.6666666666666666,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
2,20:00,424,77,0.18160377358490565,0,57,true,true,0.0,0.7402597402597403,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
2,21:00,424,82,0.19339622641509435,0,63,true,true,0.0,0.7682926829268293,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
2,22:00,424,92,0.2169811320754717,0,70,true,true,0.0,0.7608695652173914,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
2,23:00,424,98,0.23113207547169812,0,76,true,true,0.0,0.7755102040816326,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
3,20:00,465,59,0.12688172043010754,1,39,true,true,0.01694915254237288,0.6610169491525424,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
3,21:00,465,63,0.13548387096774195,0,46,true,true,0.0,0.7301587301587301,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
3,22:00,465,68,0.14623655913978495,0,51,true,true,0.0,0.75,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
3,23:00,465,79,0.16989247311827957,0,61,true,true,0.0,0.7721518987341772,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
4,20:00,452,67,0.14823008849557523,0,45,true,true,0.0,0.6716417910447762,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
4,21:00,452,69,0.15265486725663716,0,45,true,true,0.0,0.6521739130434783,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
4,22:00,452,77,0.17035398230088494,0,49,true,true,0.0,0.6363636363636364,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
4,23:00,452,81,0.17920353982300885,0,54,true,true,0.0,0.6666666666666666,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
5,20:00,468,79,0.16880341880341881,0,59,true,true,0.0,0.7468354430379747,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
5,21:00,468,78,0.16666666666666666,0,58,true,true,0.0,0.7435897435897436,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
5,22:00,468,82,0.1752136752136752,0,62,true,true,0.0,0.7560975609756098,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
5,23:00,468,86,0.18376068376068377,0,67,true,true,0.0,0.7790697674418605,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
6,20:00,427,50,0.117096018735363,0,30,true,true,0.0,0.6,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
6,21:00,427,49,0.11475409836065574,0,32,true,true,0.0,0.6530612244897959,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
6,22:00,427,50,0.117096018735363,0,33,true,true,0.0,0.66,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
6,23:00,427,53,0.12412177985948478,0,33,true,true,0.0,0.6226415094339622,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
7,20:00,435,57,0.1310344827586207,0,43,true,true,0.0,0.7543859649122807,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
7,21:00,435,53,0.12183908045977011,0,41,true,true,0.0,0.7735849056603774,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
7,22:00,435,51,0.11724137931034483,0,41,true,true,0.0,0.803921568627451,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
7,23:00,435,52,0.11954022988505747,0,42,true,true,0.0,0.8076923076923077,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
8,20:00,445,54,0.12134831460674157,0,40,true,true,0.0,0.7407407407407407,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
8,21:00,445,55,0.12359550561797752,0,42,true,true,0.0,0.7636363636363637,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
8,22:00,445,53,0.11910112359550562,0,39,true,true,0.0,0.7358490566037735,"Audit comparator only: nw_sector_not_foehn/regime_label flag possible fixed-threshold false positives, not final truth."
