candidate_version,candidate_id,source_candidate_ids,source_strategy,macro_regime_label,subtype_label,latent_component_id,component_family_prior,stratum_type,stratum_value,n_source_rows,mean_interpretability_score,physical_signature,wind_dir_deg_mean,wind_speed_mean,qnh_hpa_mean,relh_mean,dewpoint_depression_mean,precip_pre_cp_sum_mean,cloud_cover_score_mean,temp_slope_pre_cp_mean,dominant_current_regime,design_rationale,causal_inputs,production_status,next_gate_action
v2,RDC-V1-MONTH-1-C00,RDC-V1-MONTH-1-C00,v1_centroid_revision,macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-1-C00,southerly_disrupted_candidate,month,1,162,0.5,southerly_flow;moist_cloudy_or_rain,202.77518350534456,7.359122003006018,1026.0837790050468,91.41239165901652,1.4413577785653808,0.0,2.911289242546409,0.028206397399200382,southerly_disrupted,Recast v1 family southerly_disrupted_candidate as macro_southerly_flow / subtype_southerly_disrupted; dead or low-confidence families remain subtypes rather than promoted macros.,"pre-CP physical centroids: wind direction, wind speed, pressure, humidity, dewpoint depression, precipitation, cloud cover, and pre-CP temperature slope",NOT_PRODUCTION,Keep in regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v2,RDC-V1-MONTH-1-C01,RDC-V1-MONTH-1-C01,v1_centroid_revision,macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-1-C01,southerly_disrupted_candidate,month,1,263,0.6,southerly_flow;windy;moist_cloudy_or_rain,181.3436277881383,13.698875013224947,1007.8470464807916,86.7654540669148,2.2553904358344377,0.0,2.1273377104439106,-0.1287148224454215,southerly_disrupted,Recast v1 family southerly_disrupted_candidate as macro_southerly_flow / subtype_southerly_disrupted; dead or low-confidence families remain subtypes rather than promoted macros.,"pre-CP physical centroids: wind direction, wind speed, pressure, humidity, dewpoint depression, precipitation, cloud cover, and pre-CP temperature slope",NOT_PRODUCTION,Keep in regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v2,RDC-V1-MONTH-1-C02,RDC-V1-MONTH-1-C02,v1_centroid_revision,macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-1-C02,nw_or_foehn_candidate,month,1,400,0.4,northerly_nw_flow;windy,4.244413811946266,17.91406854125883,1011.5407946449873,82.18044475298146,3.129945712015864,0.0,2.909359434179623,0.15472855151179116,southerly_disrupted,Recast v1 family nw_or_foehn_candidate as macro_nw_continuum / subtype_nw_or_foehn; dead or low-confidence families remain subtypes rather than promoted macros.,"pre-CP physical centroids: wind direction, wind speed, pressure, humidity, dewpoint depression, precipitation, cloud cover, and pre-CP temperature slope",NOT_PRODUCTION,Keep in regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v2,RDC-V1-MONTH-1-C03,RDC-V1-MONTH-1-C03,v1_centroid_revision,macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-1-C03,nw_or_foehn_candidate,month,1,307,0.3,northerly_nw_flow,16.59280502205264,9.294823564878412,1013.1846054572188,79.83390760908215,3.580174835338912,0.0,1.8221372365179778,0.30934620436856153,southerly_disrupted,Recast v1 family nw_or_foehn_candidate as macro_nw_continuum / subtype_nw_or_foehn; dead or low-confidence families remain subtypes rather than promoted macros.,"pre-CP physical centroids: wind direction, wind speed, pressure, humidity, dewpoint depression, precipitation, cloud cover, and pre-CP temperature slope",NOT_PRODUCTION,Keep in regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v2,RDC-V1-MONTH-1-C04,RDC-V1-MONTH-1-C04,v1_centroid_revision,macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-1-C04,nw_or_foehn_candidate,month,1,204,0.4,northerly_nw_flow;windy,350.9733871638171,17.939214038005264,1007.9123691246572,70.89018492220347,5.442952378909612,0.0,1.6285774090549248,0.11644786471237904,southerly_disrupted,Recast v1 family nw_or_foehn_candidate as macro_nw_continuum / subtype_nw_or_foehn; dead or low-confidence families remain subtypes rather than promoted macros.,"pre-CP physical centroids: wind direction, wind speed, pressure, humidity, dewpoint depression, precipitation, cloud cover, and pre-CP temperature slope",NOT_PRODUCTION,Keep in regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v2,RDC-V1-MONTH-1-C05,RDC-V1-MONTH-1-C05,v1_centroid_revision,macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-1-C05,southerly_disrupted_candidate,month,1,287,0.35,southerly_flow,154.60514481561617,9.774812754995683,1017.5314868198162,74.711083316751,4.5128272666164655,0.0,2.463306023515894,0.12197095546237456,southerly_disrupted,Recast v1 family southerly_disrupted_candidate as macro_southerly_flow / subtype_southerly_disrupted; dead or low-confidence families remain subtypes rather than promoted macros.,"pre-CP physical centroids: wind direction, wind speed, pressure, humidity, dewpoint depression, precipitation, cloud cover, and pre-CP temperature slope",NOT_PRODUCTION,Keep in regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v2,RDC-V1-MONTH-10-C00,RDC-V1-MONTH-10-C00,v1_centroid_revision,macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-10-C00,nw_or_foehn_candidate,month,10,159,0.4,northerly_nw_flow;windy,341.79895939554785,14.496432389924397,1003.578633524023,67.12084237146287,6.101406277741972,0.0,1.516995149511302,0.07560445092068994,southerly_disrupted,Recast v1 family nw_or_foehn_candidate as macro_nw_continuum / subtype_nw_or_foehn; dead or low-confidence families remain subtypes rather than promoted macros.,"pre-CP physical centroids: wind direction, wind speed, pressure, humidity, dewpoint depression, precipitation, cloud cover, and pre-CP temperature slope",NOT_PRODUCTION,Keep in regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v2,RDC-V1-MONTH-10-C01,RDC-V1-MONTH-10-C01,v1_centroid_revision,macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-10-C01,nw_or_foehn_candidate,month,10,331,0.4,northerly_nw_flow;windy,6.772642830851418,15.961294616689994,1014.7186961712733,76.62528309998561,4.073584696277787,0.0,1.9205044771402666,0.21294764440638492,southerly_disrupted,Recast v1 family nw_or_foehn_candidate as macro_nw_continuum / subtype_nw_or_foehn; dead or low-confidence families remain subtypes rather than promoted macros.,"pre-CP physical centroids: wind direction, wind speed, pressure, humidity, dewpoint depression, precipitation, cloud cover, and pre-CP temperature slope",NOT_PRODUCTION,Keep in regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v2,RDC-V1-MONTH-10-C02,RDC-V1-MONTH-10-C02,v1_centroid_revision,macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-10-C02,nw_or_foehn_candidate,month,10,333,0.4,northerly_nw_flow;windy,355.04753964424185,18.62755555162732,1011.2721988612537,83.10837771149657,2.8762027189484907,0.0,2.9764794189172754,0.09294901501120373,southerly_disrupted,Recast v1 family nw_or_foehn_candidate as macro_nw_continuum / subtype_nw_or_foehn; dead or low-confidence families remain subtypes rather than promoted macros.,"pre-CP physical centroids: wind direction, wind speed, pressure, humidity, dewpoint depression, precipitation, cloud cover, and pre-CP temperature slope",NOT_PRODUCTION,Keep in regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
v2,RDC-V1-MONTH-10-C03,RDC-V1-MONTH-10-C03,v1_centroid_revision,macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-10-C03,southerly_disrupted_candidate,month,10,215,0.6,southerly_flow;windy;moist_cloudy_or_rain,193.29941971799764,13.682359759899665,1005.8992428728395,86.53313870807793,2.228010797460769,0.0,2.394937902819671,-0.1341905923137708,southerly_disrupted,Recast v1 family southerly_disrupted_candidate as macro_southerly_flow / subtype_southerly_disrupted; dead or low-confidence families remain subtypes rather than promoted macros.,"pre-CP physical centroids: wind direction, wind speed, pressure, humidity, dewpoint depression, precipitation, cloud cover, and pre-CP temperature slope",NOT_PRODUCTION,Keep in regime-design review; run Onda 4 robustness and final physical interpretation before any production classifier change.
